regime,entity_type,seed,floor_fraction,min_weight,factors,test_auc,untuned_auc,hhi,largest_share,untuned_hhi,converged
plausible,PROJECT,23,0.0,0.0,4,0.7655423844448236,0.7588798396725225,0.32953990726387167,0.4818395088756844,0.255,True
plausible,PROJECT,23,0.1,0.025,4,0.7659687873102508,0.7588798396725225,0.34075938123367105,0.4975558290193104,0.255,True
plausible,PROJECT,23,0.25,0.0625,4,0.766059397919154,0.7588798396725225,0.34677275293678245,0.504810466064494,0.255,True
plausible,PROJECT,23,0.4,0.1,4,0.7676690687361419,0.7588798396725225,0.3377966449444819,0.4966753558255994,0.255,True
plausible,PROJECT,23,0.6,0.15,4,0.7690282278696913,0.7588798396725225,0.31518729157157804,0.46300518601236207,0.255,True
plausible,PROJECT,23,0.8,0.2,4,0.7676157683779636,0.7588798396725225,0.2654551472291109,0.3529665343831878,0.255,True
plausible,PROJECT,23,0.95,0.2375,4,0.7666457018591165,0.7588798396725225,0.2518131000766172,0.2868735057366464,0.255,True
plausible,PROJECT,37,0.0,0.0,4,0.7485781433607521,0.7437942290116203,0.33360172418366574,0.4929347952549626,0.255,True
plausible,PROJECT,37,0.1,0.025,4,0.7486825956391174,0.7437942290116203,0.3342218185159329,0.4938450212138068,0.255,True
plausible,PROJECT,37,0.25,0.0625,4,0.7486094790442617,0.7437942290116203,0.3384610739132086,0.5000494329731633,0.255,True
plausible,PROJECT,37,0.4,0.1,4,0.7489802846324586,0.7437942290116203,0.33899299869614674,0.5012783630095694,0.255,True
plausible,PROJECT,37,0.6,0.15,4,0.7493458676067372,0.7437942290116203,0.317552976997113,0.4687290265444052,0.255,True
plausible,PROJECT,37,0.8,0.2,4,0.7452722287504896,0.7437942290116203,0.2786705350278206,0.39663210245875113,0.255,True
plausible,PROJECT,37,0.95,0.2375,4,0.7430369499934717,0.7437942290116203,0.2518710043718643,0.2874600146603982,0.255,True
plausible,PROJECT,41,0.0,0.0,4,0.7416342084319378,0.740569543195366,0.3354113994043545,0.4847719374650495,0.255,True
plausible,PROJECT,41,0.1,0.025,4,0.7411914763533635,0.740569543195366,0.3313362250576402,0.48335353758905225,0.255,True
plausible,PROJECT,41,0.25,0.0625,4,0.7415867728520906,0.740569543195366,0.33671125896191345,0.48729134774297567,0.255,True
plausible,PROJECT,41,0.4,0.1,4,0.7415815022321075,0.740569543195366,0.3294831484463445,0.4788480680745357,0.255,True
plausible,PROJECT,41,0.6,0.15,4,0.7415762316121245,0.740569543195366,0.30812513536805874,0.45132775911873513,0.255,True
plausible,PROJECT,41,0.8,0.2,4,0.742408989569443,0.740569543195366,0.26968023226635457,0.36964312912013153,0.255,True
plausible,PROJECT,41,0.95,0.2375,4,0.7408857803943478,0.740569543195366,0.2518748600082291,0.28749860004318584,0.255,True
plausible,PROJECT,53,0.0,0.0,4,0.7350335249042145,0.7283389555222388,0.3070710143244098,0.44734078742812466,0.255,True
plausible,PROJECT,53,0.1,0.025,4,0.733961144427786,0.7283389555222388,0.2978948214847242,0.4289110699288187,0.255,True
plausible,PROJECT,53,0.25,0.0625,4,0.734575420623022,0.7283389555222388,0.2985471485247441,0.43588872551041297,0.255,True
plausible,PROJECT,53,0.4,0.1,4,0.735580126603365,0.7283389555222388,0.3119808632666384,0.4577759165205133,0.255,True
plausible,PROJECT,53,0.6,0.15,4,0.7350647592870231,0.7283389555222388,0.3014563607383447,0.44181964031411713,0.255,True
plausible,PROJECT,53,0.8,0.2,4,0.7313322505413961,0.7283389555222388,0.2738376947946024,0.38359994766440036,0.255,True
plausible,PROJECT,53,0.95,0.2375,4,0.7276882392137265,0.7283389555222388,0.25174798918285796,0.2862037537299578,0.255,True
plausible,CONTRACTOR,11,0.0,0.0,4,0.7659604842393787,0.7532620488807675,0.2689551748155986,0.3248190992325735,0.30000000000000016,True
plausible,CONTRACTOR,11,0.1,0.025,4,0.7659319323892188,0.7532620488807675,0.2663193514555363,0.32025345860554766,0.30000000000000016,True
plausible,CONTRACTOR,11,0.25,0.0625,4,0.7669455230698949,0.7532620488807675,0.26839999929864444,0.33607453843906954,0.30000000000000016,True
plausible,CONTRACTOR,11,0.4,0.1,4,0.7678877341251713,0.7532620488807675,0.26492217292109477,0.33033367929192237,0.30000000000000016,True
plausible,CONTRACTOR,11,0.6,0.15,4,0.7680304933759707,0.7532620488807675,0.2672072060991813,0.33885891716522576,0.30000000000000016,True
plausible,CONTRACTOR,11,0.8,0.2,4,0.7674309045226131,0.7532620488807675,0.2601331386991826,0.32925321309966943,0.30000000000000016,True
plausible,CONTRACTOR,11,0.95,0.2375,4,0.7644543741434444,0.7532620488807675,0.250712320969927,0.26947263058970505,0.30000000000000016,True
plausible,CONTRACTOR,23,0.0,0.0,4,0.760446500171841,0.747493985565357,0.27091099267657137,0.3351238901741484,0.30000000000000016,True
plausible,CONTRACTOR,23,0.1,0.025,4,0.7603247794707297,0.747493985565357,0.27436691185303347,0.34758666988980885,0.30000000000000016,True
plausible,CONTRACTOR,23,0.25,0.0625,4,0.7604679802955665,0.747493985565357,0.2693927881803818,0.33814082733629086,0.30000000000000016,True
plausible,CONTRACTOR,23,0.4,0.1,4,0.761069423759881,0.747493985565357,0.2678852222943463,0.3365703712843632,0.30000000000000016,True
plausible,CONTRACTOR,23,0.6,0.15,4,0.760446500171841,0.747493985565357,0.27105720415201306,0.33422307738952806,0.30000000000000016,True
plausible,CONTRACTOR,23,0.8,0.2,4,0.762737713369229,0.747493985565357,0.2585841363813057,0.3140135123468509,0.30000000000000016,True
plausible,CONTRACTOR,23,0.95,0.2375,4,0.7614489059456981,0.747493985565357,0.2511083052774745,0.2782013098083144,0.30000000000000016,True
plausible,CONTRACTOR,37,0.0,0.0,4,0.7070537152058891,0.7044729123533471,0.26154345807475043,0.2901433733399436,0.30000000000000016,True
plausible,CONTRACTOR,37,0.1,0.025,4,0.7073484587071543,0.7044729123533471,0.26175537239232854,0.28692299422103024,0.30000000000000016,True
plausible,CONTRACTOR,37,0.25,0.0625,4,0.7069674488152748,0.7044729123533471,0.2604009509025664,0.2900577397916272,0.30000000000000016,True
plausible,CONTRACTOR,37,0.4,0.1,4,0.7071759259259259,0.7044729123533471,0.261527421152622,0.2911405042639029,0.30000000000000016,True
plausible,CONTRACTOR,37,0.6,0.15,4,0.7069602599493904,0.7044729123533471,0.26148884076216855,0.290659180774525,0.30000000000000016,True
plausible,CONTRACTOR,37,0.8,0.2,4,0.7030926501035197,0.7044729123533471,0.25470847223883086,0.29700623192524855,0.30000000000000016,True
