agency,board,month,requests,slaBreachRate,repeatComplaintRate,escalationRate,openComplaintLoad,avgResolutionDays,nextBreachRate,failed,score,probability
DEP,2,2025-06,82,0.37804878048780488,0.43939393939393939,0,108,1.7352073820395737,0.27950310559006208,0,34.000706220695861,0.3271604938271605
DEP,2,2025-07,161,0.27950310559006208,0.54782608695652169,0,113,1.8946358618233619,0.30188679245283018,0,26.750296803997308,0.17582417582417584
DEP,2,2025-08,106,0.30188679245283018,0.379746835443038,0,119,2.4597986111111112,0.26666666666666666,0,27.898935930214243,0.18181818181818182
DEP,2,2025-09,90,0.26666666666666666,0.46875,0,111,9.4768424036281189,0.3595505617977528,1,27.113247341834978,0.17582417582417584
DEP,2,2025-10,89,0.3595505617977528,0.63636363636363635,0,117,8.0405204149933081,0.37037037037037035,1,35.103495468169754,0.3271604938271605
DEP,2,2025-11,54,0.37037037037037035,0.44,0,107,25.122504340277779,0.38823529411764707,1,37.965567634558987,0.35869565217391303
DEP,3,2022-01,137,0.31386861313868614,0.15441176470588236,0,21,1.0277717911877395,0.2982456140350877,0,26.349279877954199,0.1702127659574468
DEP,3,2022-02,114,0.2982456140350877,0.21929824561403508,0.008771929824561403,27,2.4453446502057612,0.30769230769230771,0,25.869169749796292,0.11846689895470383
DEP,3,2022-03,65,0.30769230769230771,0.20634920634920634,0,17,7.3492129629629623,0.27058823529411763,0,27.578496326706183,0.17582417582417584
DEP,3,2022-04,85,0.27058823529411763,0.07792207792207792,0,23,2.5164644866385375,0.28205128205128205,0,22.880325598690774,0.11846689895470383
DEP,3,2022-05,117,0.28205128205128205,0.13829787234042554,0,27,2.3153638151425762,0.32075471698113206,0,24.093796206431126,0.11846689895470383
DEP,3,2022-06,106,0.32075471698113206,0.097826086956521743,0,35,4.6702876984126984,0.18571428571428572,0,27.633694556775822,0.17582417582417584
DEP,3,2022-07,210,0.18571428571428572,0.20212765957446807,0,39,3.1376045037756208,0.25766871165644173,0,17.029295032455021,0.078378378378378383
DEP,3,2022-08,163,0.25766871165644173,0.23076923076923078,0,39,3.9600119291070213,0.32258064516129031,0,23.124781783297529,0.11846689895470383
DEP,3,2022-09,186,0.32258064516129031,0.21264367816091953,0,43,2.1803914835164835,0.29702970297029702,0,27.845559836862822,0.18181818181818182
DEP,3,2022-10,101,0.29702970297029702,0.2441860465116279,0.0099009900990099011,34,6.7119255050505053,0.29347826086956524,0,26.992812440366087,0.17582417582417584
DEP,3,2022-11,92,0.29347826086956524,0.31325301204819278,0,36,5.580486111111111,0.40909090909090912,1,26.75619094424804,0.17582417582417584
DEP,3,2022-12,88,0.40909090909090912,0.27848101265822783,0,45,10.236963783403656,0.2857142857142857,0,37.036274131260384,0.3271604938271605
DEP,3,2023-01,91,0.2857142857142857,0.25609756097560976,0.01098901098901099,49,4.7394955300127712,0.24299065420560748,0,25.84187989755296,0.11846689895470383
DEP,3,2023-02,107,0.24299065420560748,0.14705882352941177,0,50,4.3519785115303984,0.19178082191780821,0,21.742147860124604,0.11846689895470383
DEP,3,2023-03,73,0.19178082191780821,0.22580645161290322,0.013698630136986301,43,6.3507204861111113,0.27272727272727271,0,18.509498550553602,0.078378378378378383
DEP,3,2023-04,99,0.27272727272727271,0.24444444444444444,0,64,4.5913728632478632,0.2857142857142857,0,24.813655447715334,0.11846689895470383
DEP,3,2023-05,140,0.2857142857142857,0.28099173553719009,0,54,3.0718240740740739,0.23157894736842105,0,25.567157688536536,0.11846689895470383
DEP,3,2023-06,95,0.23157894736842105,0.30769230769230771,0,50,3.0417718855218858,0.15730337078651685,0,21.320222172573942,0.11846689895470383
DEP,3,2023-07,178,0.15730337078651685,0.42281879194630873,0.0056179775280898875,60,0.84752397486772479,0.17687074829931973,0,15.565288241529762,0.078378378378378383
DEP,3,2023-08,147,0.17687074829931973,0.33620689655172414,0,52,4.5811021505376353,0.2129032258064516,0,17.474130624577391,0.078378378378378383
DEP,3,2023-09,155,0.2129032258064516,0.27692307692307694,0.0064516129032258064,51,1.8245459401709401,0.30434782608695654,0,19.425190136030832,0.078378378378378383
DEP,3,2023-10,138,0.30434782608695654,0.25961538461538464,0,55,3.6576388888888891,0.24731182795698925,0,27.101142365370407,0.17582417582417584
DEP,3,2023-11,93,0.24731182795698925,0.40000000000000002,0.010752688172043012,56,5.3212560386473431,0.34453781512605042,0,23.700937747244033,0.11846689895470383
DEP,3,2023-12,119,0.34453781512605042,0.40909090909090912,0,61,4.1536854288499026,0.3473684210526316,1,31.245589057829655,0.23474178403755869
DEP,3,2024-01,95,0.3473684210526316,0.30588235294117649,0,61,4.4674049707602341,0.33766233766233766,0,31.030738295769513,0.23474178403755869
DEP,3,2024-02,77,0.33766233766233766,0.26153846153846155,0,73,3.6130982905982907,0.2608695652173913,0,29.956382648190186,0.19
DEP,3,2024-03,92,0.2608695652173913,0.37037037037037035,0,69,3.6033203124999997,0.2839506172839506,0,24.312344375997846,0.11846689895470383
DEP,3,2024-04,81,0.2839506172839506,0.3188405797101449,0,68,13.153997289972899,0.3247863247863248,0,28.166025539569468,0.19
DEP,3,2024-05,117,0.3247863247863248,0.45833333333333331,0,67,11.640136534839923,0.24022346368715083,0,31.759041501333023,0.23474178403755869
DEP,3,2024-06,179,0.24022346368715083,0.47887323943661969,0,74,2.2276970284237727,0.3728813559322034,1,22.928508897503058,0.11846689895470383
DEP,3,2024-07,177,0.3728813559322034,0.4375,0,85,3.5925995649263727,0.26993865030674846,0,33.776209277724817,0.23474178403755869
DEP,3,2024-08,163,0.26993865030674846,0.40310077519379844,0,69,4.8310211049037859,0.31034482758620691,0,25.494023323374027,0.11846689895470383
DEP,3,2024-09,87,0.31034482758620691,0.32758620689655171,0,74,2.2094004065040651,0.18666666666666668,0,27.777408536150979,0.18181818181818182
DEP,3,2024-10,75,0.18666666666666668,0.42424242424242425,0,72,3.7678571428571428,0.17346938775510204,0,18.716536987935132,0.078378378378378383
DEP,3,2024-11,98,0.17346938775510204,0.35999999999999999,0,70,1.1749166666666668,0.33043478260869563,0,16.700540934760394,0.078378378378378383
DEP,3,2024-12,115,0.33043478260869563,0.32467532467532467,0,79,8.3859014675052403,0.19463087248322147,0,30.894687766337686,0.23474178403755869
