regime,entity_type,seed,bayes_ceiling,model,interpretable,roc_auc,average_precision,brier,precision_at_threshold,recall_at_threshold
plausible,PROJECT,20260826,0.7233264042083829,Logistic regression,True,0.7140993551671475,0.808474210406608,0.2054069920032366,0.7160686427457098,0.8080985915492958
plausible,PROJECT,20260826,0.7233264042083829,Gradient boosting,False,0.6936619718309859,0.8008880818841012,0.21257034281080664,0.7097288676236044,0.7834507042253521
plausible,PROJECT,20260826,0.7233264042083829,Random forest,False,0.705100330901069,0.8072739816771033,0.20855089656041417,0.7065217391304348,0.801056338028169
plausible,PROJECT,20260827,0.7524243820540117,GRIE (hand-specified),True,0.7508937508937509,0.8435076350456491,0.23221485335064623,0.9411764705882353,0.2257495590828924
plausible,PROJECT,20260827,0.7524243820540117,GRIE (tuned weights),True,0.7506871951316395,0.8434170747401812,0.23800422954462078,0.9396551724137931,0.19223985890652556
plausible,PROJECT,20260827,0.7524243820540117,Logistic regression,True,0.7460953016508571,0.8368882535941227,0.19485920712378516,0.7332242225859247,0.7901234567901234
plausible,PROJECT,20260827,0.7524243820540117,Gradient boosting,False,0.7352987908543464,0.8235934571411105,0.19911772947160836,0.7305785123966942,0.7795414462081128
plausible,PROJECT,20260827,0.7524243820540117,Random forest,False,0.7428433724730021,0.8365680598117267,0.19582281651975703,0.7318255250403877,0.798941798941799
plausible,PROJECT,20260828,0.7416425120772947,GRIE (hand-specified),True,0.7295521608565088,0.7915435145423975,0.23488893952773393,0.8661971830985915,0.22162162162162163
plausible,PROJECT,20260828,0.7416425120772947,GRIE (tuned weights),True,0.7351037994516256,0.8009139464657963,0.24700860188858326,0.8831168831168831,0.12252252252252252
plausible,PROJECT,20260828,0.7416425120772947,Logistic regression,True,0.7359655307481394,0.803124106090366,0.19834688902467273,0.7076205287713841,0.8198198198198198
plausible,PROJECT,20260828,0.7416425120772947,Gradient boosting,False,0.7302363232798016,0.7973830702264801,0.20116064277624912,0.7297734627831716,0.8126126126126126
plausible,PROJECT,20260828,0.7416425120772947,Random forest,False,0.7316464290377334,0.7988569762091796,0.19991088360959453,0.7234375,0.8342342342342343
plausible,PROJECT,20260829,0.7691294985502304,GRIE (hand-specified),True,0.7649454204332253,0.8450087493761942,0.22778776693799657,0.9328859060402684,0.243006993006993
plausible,PROJECT,20260829,0.7691294985502304,GRIE (tuned weights),True,0.7641832253112739,0.844988917796764,0.2426777777939561,0.9659090909090909,0.1486013986013986
plausible,PROJECT,20260829,0.7691294985502304,Logistic regression,True,0.7617367388708852,0.8460527087068083,0.1874462442156267,0.745839636913767,0.8618881118881119
plausible,PROJECT,20260829,0.7691294985502304,Gradient boosting,False,0.7455920603786458,0.8319991297156827,0.19247660094030342,0.7382039573820396,0.8479020979020979
plausible,PROJECT,20260829,0.7691294985502304,Random forest,False,0.7464821763602252,0.8353174457512759,0.1920703649207382,0.7344461305007587,0.8461538461538461
plausible,PROJECT,20260830,0.7986768539707655,GRIE (hand-specified),True,0.78711790972661,0.8680533561266693,0.2210275609577742,0.9607843137254902,0.2583479789103691
plausible,PROJECT,20260830,0.7986768539707655,GRIE (tuned weights),True,0.7929106557855782,0.8730743042409339,0.2347803556778032,0.9746835443037974,0.13532513181019332
plausible,PROJECT,20260830,0.7986768539707655,Logistic regression,True,0.7887957353495558,0.8655790933427061,0.17771639875675077,0.7608346709470305,0.8330404217926186
plausible,PROJECT,20260830,0.7986768539707655,Gradient boosting,False,0.7744333356341491,0.8518392323545314,0.18324178617331402,0.7585089141004863,0.8224956063268892
plausible,PROJECT,20260830,0.7986768539707655,Random forest,False,0.7835976616632774,0.863539485477606,0.17981365612532438,0.753968253968254,0.8347978910369068
plausible,CONTRACTOR,20260826,0.7291966362497763,GRIE (hand-specified),True,0.7147611379495439,0.739857730796001,0.23551286121391998,0.8979591836734694,0.10864197530864197
plausible,CONTRACTOR,20260826,0.7291966362497763,GRIE (tuned weights),True,0.7209089282519234,0.7556926833579678,0.2450385372691735,0.9230769230769231,0.08888888888888889
plausible,CONTRACTOR,20260826,0.7291966362497763,Logistic regression,True,0.7207228484523172,0.7559282501104393,0.21237891301238315,0.6864197530864198,0.6864197530864198
plausible,CONTRACTOR,20260826,0.7291966362497763,Gradient boosting,False,0.7018178565038468,0.7479087445716934,0.21893113975827505,0.6805896805896806,0.6839506172839506
plausible,CONTRACTOR,20260826,0.7291966362497763,Random forest,False,0.7064483807478977,0.7481530475604604,0.21750915282019265,0.6658767772511849,0.6938271604938272
plausible,CONTRACTOR,20260827,0.7456140350877193,GRIE (hand-specified),True,0.7257840270611169,0.752107989421214,0.23148432100273397,0.8983050847457628,0.12990196078431374
plausible,CONTRACTOR,20260827,0.7456140350877193,GRIE (tuned weights),True,0.7362329434697855,0.7613635656909257,0.24348948525946085,0.8918918918918919,0.08088235294117647
plausible,CONTRACTOR,20260827,0.7456140350877193,Logistic regression,True,0.739493750716661,0.7637047933176269,0.20614065338814658,0.6917808219178082,0.7426470588235294
plausible,CONTRACTOR,20260827,0.7456140350877193,Gradient boosting,False,0.7271815158812063,0.7510097597490282,0.21081535312020522,0.7103960396039604,0.7034313725490197
plausible,CONTRACTOR,20260827,0.7456140350877193,Random forest,False,0.7221075564728816,0.748249660019217,0.21162810911009342,0.6901408450704225,0.7205882352941176
plausible,CONTRACTOR,20260828,0.7398371071840458,GRIE (hand-specified),True,0.716620941110737,0.7515649803595217,0.23271543899401156,0.8787878787878788,0.14250614250614252
plausible,CONTRACTOR,20260828,0.7398371071840458,GRIE (tuned weights),True,0.7259475218658892,0.7596341595756715,0.24575182135907309,0.9705882352941176,0.08108108108108109
plausible,CONTRACTOR,20260828,0.7398371071840458,Logistic regression,True,0.7253171538885823,0.7593182824765314,0.2113560819118739,0.6743119266055045,0.7223587223587223
plausible,CONTRACTOR,20260828,0.7398371071840458,Gradient boosting,False,0.71362669321853,0.7549990749886585,0.2154141516112233,0.6810933940774487,0.7346437346437347
plausible,CONTRACTOR,20260828,0.7398371071840458,Random forest,False,0.7161266753103488,0.7508010501781546,0.21518704697320748,0.6900452488687783,0.7493857493857494
plausible,CONTRACTOR,20260829,0.7447998913890062,GRIE (hand-specified),True,0.7283939149261516,0.7406470130998511,0.2319684757289328,0.8867924528301887,0.1172069825436409
plausible,CONTRACTOR,20260829,0.7447998913890062,GRIE (tuned weights),True,0.7400624513215528,0.7685314477069736,0.24546760762225683,0.9117647058823529,0.0773067331670823
plausible,CONTRACTOR,20260829,0.7447998913890062,Logistic regression,True,0.7398766693581234,0.7682096496162034,0.20646623261517444,0.7121588089330024,0.71571072319202
plausible,CONTRACTOR,20260829,0.7447998913890062,Gradient boosting,False,0.7212448820641805,0.7388464963360144,0.21420158757107718,0.6844660194174758,0.7032418952618454
plausible,CONTRACTOR,20260829,0.7447998913890062,Random forest,False,0.7326954819255586,0.7479281832844973,0.209107497505202,0.6855791962174941,0.7231920199501247
plausible,CONTRACTOR,20260830,0.7415932386261463,GRIE (hand-specified),True,0.7338176586944793,0.7809944505079041,0.23148380770400304,0.9193548387096774,0.13734939759036144
plausible,CONTRACTOR,20260830,0.7415932386261463,GRIE (tuned weights),True,0.739802193850027,0.7845499201625918,0.23916324593373883,0.9,0.10843373493975904
plausible,CONTRACTOR,20260830,0.7415932386261463,Logistic regression,True,0.7408667505844273,0.7857218739668732,0.2042403550033441,0.6924882629107981,0.7108433734939759
plausible,CONTRACTOR,20260830,0.7415932386261463,Gradient boosting,False,0.7285416292033807,0.7838126754135797,0.2079341225277523,0.6910377358490566,0.7060240963855422
plausible,CONTRACTOR,20260830,0.7415932386261463,Random forest,False,0.733925552958101,0.7842195643364516,0.2072166091170514,0.6845637583892618,0.7373493975903614
adversarial,SECTOR,20260826,0.8353817370055405,GRIE (hand-specified),True,0.787990914928929,0.7967492060336452,0.21022559759237974,0.889763779527559,0.18314424635332252
adversarial,SECTOR,20260826,0.8353817370055405,GRIE (tuned weights),True,0.8103672114558632,0.8184921315803018,0.20879500564695597,0.918918918918919,0.16531604538087522
adversarial,SECTOR,20260826,0.8353817370055405,Logistic regression,True,0.8121047173981335,0.8220230235274066,0.1773761158589262,0.7523809523809524,0.7682333873581848
adversarial,SECTOR,20260826,0.8353817370055405,Gradient boosting,False,0.8246272702252642,0.8339438930888614,0.1667197854976415,0.8170055452865065,0.7163695299837926
adversarial,SECTOR,20260826,0.8353817370055405,Random forest,False,0.8275198701179558,0.8335271229688941,0.165429465725831,0.810126582278481,0.7260940032414911
adversarial,SECTOR,20260827,0.8196544366583117,GRIE (hand-specified),True,0.7835124391119173,0.787064929764488,0.2098403222835901,0.864516129032258,0.21508828250401285
adversarial,SECTOR,20260827,0.8196544366583117,GRIE (tuned weights),True,0.7992438889367988,0.7912532137047684,0.21050226360759383,0.873015873015873,0.17656500802568217
adversarial,SECTOR,20260827,0.8196544366583117,Logistic regression,True,0.8045127423352649,0.8029464503692854,0.179876195361355,0.7564516129032258,0.7528089887640449
adversarial,SECTOR,20260827,0.8196544366583117,Gradient boosting,False,0.8148181633567102,0.8296054373546077,0.1726825399103391,0.8083941605839416,0.7110754414125201
adversarial,SECTOR,20260827,0.8196544366583117,Random forest,False,0.8209257492259459,0.838203536468122,0.1714988283641446,0.8065693430656934,0.709470304975923
adversarial,SECTOR,20260828,0.8243508084272415,GRIE (hand-specified),True,0.7829467507015277,0.7778287201772198,0.21248996474698367,0.849624060150376,0.17993630573248406
adversarial,SECTOR,20260828,0.8243508084272415,GRIE (tuned weights),True,0.802773261770077,0.8004508386977252,0.21317861274020256,0.8660714285714286,0.15445859872611464
adversarial,SECTOR,20260828,0.8243508084272415,Logistic regression,True,0.8029848336376998,0.8050939463627926,0.18067831570516035,0.7614533965244866,0.767515923566879
adversarial,SECTOR,20260828,0.8243508084272415,Gradient boosting,False,0.818305699077992,0.8227341919944069,0.17127801262343326,0.8146788990825689,0.7070063694267515
adversarial,SECTOR,20260828,0.8243508084272415,Random forest,False,0.8157904993096076,0.8163571340591038,0.17184487175861507,0.8042328042328042,0.7261146496815286
adversarial,SECTOR,20260829,0.8382741985683162,GRIE (hand-specified),True,0.8047580143168378,0.7979581673037133,0.20684902764910512,0.8823529411764706,0.19607843137254902
adversarial,SECTOR,20260829,0.8382741985683162,GRIE (tuned weights),True,0.8203948245965053,0.8102747217243914,0.20685531606616395,0.8910891089108911,0.14705882352941177
adversarial,SECTOR,20260829,0.8382741985683162,Logistic regression,True,0.8235738739940421,0.8168380698828983,0.17104577311038635,0.7647058823529411,0.7647058823529411
adversarial,SECTOR,20260829,0.8382741985683162,Gradient boosting,False,0.8285647592370281,0.8291244848478826,0.16532163513767872,0.797153024911032,0.7320261437908496
adversarial,SECTOR,20260829,0.8382741985683162,Random forest,False,0.8291844515584011,0.8343667937970688,0.16449004405248913,0.8128440366972477,0.7238562091503268
adversarial,SECTOR,20260830,0.80565043034091,GRIE (hand-specified),True,0.7750054886877451,0.7802542730820863,0.21207811561852188,0.8827586206896552,0.20880913539967375
adversarial,SECTOR,20260830,0.80565043034091,GRIE (tuned weights),True,0.7868165888986773,0.7913436147435933,0.21318344679054443,0.8807339449541285,0.1566068515497553
adversarial,SECTOR,20260830,0.80565043034091,Logistic regression,True,0.7900959061337127,0.7981008797589723,0.18720081090710233,0.7347611202635914,0.7275693311582382
adversarial,SECTOR,20260830,0.80565043034091,Gradient boosting,False,0.7921968924300574,0.8066002171338197,0.18102263780079986,0.8084677419354839,0.6541598694942904
adversarial,SECTOR,20260830,0.80565043034091,Random forest,False,0.7956262801148317,0.8063656134540025,0.17961686443227284,0.8122529644268774,0.6704730831973899
adversarial,PROJECT,20260826,0.8272633240786107,GRIE (hand-specified),True,0.8084618848950058,0.8357171027960627,0.19975704813987943,0.9452054794520548,0.2929936305732484
adversarial,PROJECT,20260826,0.8272633240786107,GRIE (tuned weights),True,0.810748345780193,0.8360015219454681,0.199658641644088,0.9574468085106383,0.28662420382165604
adversarial,PROJECT,20260826,0.8272633240786107,Logistic regression,True,0.8068633418951889,0.8261278082361498,0.17948860535147249,0.7350427350427351,0.7303609341825902
